probe_id,count
1558048_x_at,5
1559404_a_at,4
1561501_s_at,4
234737_at,4
235936_at,4
241860_at,4
242210_at,4
1559623_at,3
1560779_a_at,3
232179_at,3
1557167_at,2
204840_s_at,2
207425_s_at,2
211094_s_at,2
238749_at,2
238921_at,2
241642_x_at,2
242721_at,2
1552880_at,1
1555448_at,1
1556627_at,1
1556891_at,1
1557169_x_at,1
1557261_at,1
1560066_at,1
1565358_at,1
1570450_at,1
201464_x_at,1
201466_s_at,1
201694_s_at,1
202827_s_at,1
204284_at,1
207242_s_at,1
208344_x_at,1
209189_at,1
209269_s_at,1
212336_at,1
215350_at,1
215821_x_at,1
217629_at,1
221795_at,1
222501_s_at,1
222536_s_at,1
222961_at,1
224828_at,1
225420_at,1
227404_s_at,1
228147_at,1
232229_at,1
232961_at,1
233099_at,1
233579_at,1
235080_at,1
235606_at,1
236850_at,1
237072_at,1
238024_at,1
239667_at,1
240503_at,1
240997_at,1
241583_x_at,1
241675_s_at,1
242714_at,1
243250_at,1
